Station Name,ZIP,Latitude,Longitude,ID
Goleta Mechanics Bank,93117,34.44198,-119.829553,36610
INTERPARK ADAMS WABASH 2,60603,41.879444,-87.626366,36611
INTERPARK WILLIS TOWER 1,60606,41.879081,-87.634561,36613
INTERPARK WASH FRANK NEW,60606,41.883404,-87.635081,36614
INTERPARK LAKE & WELLS 2,60606,41.885223,-87.633751,36617
INTERPARK 50 EAST OHIO 2,60611,41.892757,-87.626038,36619
City of Spartanburg - Municipal Parking Garage,29306,34.950136,-81.93279,36709
City of Spartanburg - Municipal Parking Garage,29306,34.951926,-81.931714,36710
City of Union Town Hall,29379,34.715982,-81.624616,36711
Whole Foods Market,6824,41.157925,-73.240315,36923
Propark America - Omni Hotel Chapel Square Garage,6510,41.305794,-72.927405,36924
City of New Haven - Air Rights Garage,6511,41.305265,-72.934141,36925
City of New Haven - Temple Street Garage,6510,41.304245,-72.928369,36926
Propark - Water Street Garage,6320,41.355486,-72.093784,36928
Town of Westport - Westport Metro North,6880,41.119291,-73.369266,36931
Park 'N Fly - Bradley International Airport,6078,41.951328,-72.663078,36932
OLD TOWN DECK  GROUND LEVEL,49684,44.760253,-85.62237,36941
GATEWAYKENOSHA  HORIZON MAINLOT,53144,42.592469,-87.915847,36949
PUBLIC STATIONS GREENWAY STAT,53562,43.091229,-89.52884,36951
Spinx #149,29206,34.042116,-80.939041,37056
Baker Electric Building,44103,41.503373,-81.639054,37097
McDonald's,25703,38.417603,-82.456866,37104
OUC OC BARNETT 1,32808,28.560572,-81.441748,37150
OUC OC MARKS ST 01,32803,28.556879,-81.377632,37151
OUC OUC OCCC 03,32819,28.429015,-81.458938,37154
OUC OC W LIBRARY 01,32811,28.528024,-81.44774,37161
OUC OC MED EXAM 01,32806,28.512494,-81.351919,37162
INTERPARK SOUTH LOOP 1,60604,41.877419,-87.630013,37164
French Gerleman,63146,38.694036,-90.4218,37166
HILLSBORO OR MAIN ST 1,97123,45.522609,-122.988535,37170
HILLSBORO OR EV-8,97123,45.520533,-122.978089,37171
BELLEVUE BELLEVUE CH 1,98004,47.614744,-122.193162,37181
Oregon Museum of Science and Industry (OMSI) - North Parking Lot,97214,45.509326,-122.666392,37651
Liberty Park,84119,40.74686,-111.876,37655
Salt Lake City Main Library,84111,40.759561,-111.883924,37658
The Evergreen State College,98505,47.071917,-122.976675,37673
The Hartford Financial Services Group - Lot 4,6105,41.770428,-72.687141,37679
The Hartford Financial Services Group,6095,41.879631,-72.729919,37681
JCCC MTC,66210,38.92591,-94.72819,37683
SCHOOLCRAFT EDU LIBRARY 02,48152,42.419224,-83.431343,37693
Courtyard Marriott - Hadley Amherst,1035,42.36262,-72.5395,37813
City of Delray Beach - Banker's Row Parking Lot,33444,26.465314,-80.07219,37835
KING COUNTY DOT ISSAQUAH P&R 2,98027,47.545324,-122.0195,38082
King County - King County Van Distribution Center,98052,47.675897,-122.091237,38083
Eversource,6106,41.765253,-72.671569,38096
SEAPORT GARAGE EAST GARAGE2 P1,2210,42.349249,-71.041557,38254
City of Columbia - Cannon Garage,29201,34.00741493,-81.0348006,38298
City of Columbia - Washington Street Garage,29201,34.003323,-81.035693,38299
City of Columbia - Arsenal Hill Garage,29201,34.008409,-81.041802,38300
City of Columbia - Lincoln Street Garage,29201,34.002255,-81.040219,38301
Greenville Zoo,29601,34.84709,-82.387269,38302
City of Greenville - Poinsett Garage,29601,34.849724,-82.400667,38303
City of Greenville - Spring Street Garage,29601,34.849889,-82.397797,38304
City of Greenville - Church Street Garage,29601,34.852754,-82.393113,38305
City of Columbia - Park Street Garage,29201,33.997786,-81.036161,38306
City of Greenville - Commons Garage,29601,34.852789,-82.396195,38307
City of Greenville - Liberty Square Garage,29601,34.85335,-82.394826,38308
City of Greenville - Richardson Garage,29601,34.852437,-82.399901,38309
City of Rock Hill - Municipal Garage,29730,34.925782,-81.028444,38310
Timken Sports Complex,29379,34.716556,-81.648482,38312
Lockhart Power,29364,34.77993955,-81.45735907,38313
Toyota of Santa Monica,90401,34.019875,-118.49151,38379
Parc 55 Hotel,94102,37.784871,-122.408991,38517
Beach & Hyde Garage,94109,37.806798,-122.419488,38518
City of Santa Monica - Civic Parking Garage,90401,34.010528,-118.4898,38521
Denver International Airport - Canopy Airport Parking,80022,39.843886,-104.771138,38522
Town of Superior - Town Hall,80027,39.953798,-105.166116,38523
Charles Hotel - Harvard Square,2138,42.372442,-71.122882,38525
Town of Dyer - Town Hall,46311,41.492057,-87.522819,38774
Peaches Bed & Breakfast,49503,42.962078,-85.659019,38778
GREEN MANGO GREEN MANGO 1,32218,30.485141,-81.662098,38799
ComEd,60618,41.94629288,-87.69982,38850
ComEd,60652,41.75497055,-87.71321,38851
City Hall Annex - Town of Normal,61761,40.507796,-88.982897,38855
College Avenue Parking Deck,61761,40.511172,-88.984985,38856
State of Illinois - Governor's Mansion,62703,39.79628,-89.6504,38857
Duke Energy,46168,39.70909,-86.3894,38859
MCDONALD SWLA CHARGE AT MCD 1,70601,30.198704,-93.212318,38861
ECM WEBER ELEC 1ST NATIONAL #1,55101,44.946632,-93.091461,38886
3M,55117,44.95121,-92.9952,38887
UWB CASCADIA CC NORTH DUAL 1,98011,47.761878,-122.191915,38952
CITY OF REDMOND CITY HALL DUAL,98052,47.679224,-122.12995,38959
CITY OF REDMOND MOC #1 PUBLIC,98052,47.672359,-122.099034,38966
WILLOWS LODGE WILLOWS #2,98072,47.734211,-122.147041,38976
PUBLIC STATIONS PINNACLE HEALTH,53719,43.011411,-89.459112,38978
PUBLIC STATIONS WILLY ST W,53562,43.096636,-89.500008,39006
City of Raleigh - Municipal Building,27601,35.778416,-78.64347,39016
City of Raleigh - Downtown,27601,35.77435,-78.642287,39017
